league,code,club
Austrian Bundesliga,AKL,Austria Klagenfurt 
Austrian Bundesliga,ALU,Austria Lustenau 
Austrian Bundesliga,VIE,Austria Vienna
Austrian Bundesliga,LIN,LASK Linz
Austrian Bundesliga,RAV,Rapid Vienna
Austrian Bundesliga,RBS,Red Bull Salzburg
Austrian Bundesliga,RAL,Rheindorf Altach
Austrian Bundesliga,SGR,Sturm Graz
Austrian Bundesliga,SVR,SV Ried 
Austrian Bundesliga,TSV,TSV Hartberg
Austrian Bundesliga,WOL,Wolfsberger AC
Austrian Bundesliga,WSG,WSG Wattens
Danish Superliga,AAB,Aalborg BK
Danish Superliga,ACH,AC Horsens 
Danish Superliga,AGF,AGF Aarhus
Danish Superliga,BIF,Brondby
Danish Superliga,ESB,Esbjerg fB
Danish Superliga,COP,FC Copenhagen
Danish Superliga,FCM,FC Midtjylland
Danish Superliga,FCN,FC Nordsjaelland
Danish Superliga,HOB,Hobro IK
Danish Superliga,LBB,Lyngby BK 
Danish Superliga,ODE,Odense Boldklub
Danish Superliga,RDF,Randers FC
Danish Superliga,SIL,Silkeborg 
Danish Superliga,VIB,Viborg FF 
Dutch Eredivisie,AJA,Ajax Amsterdam
Dutch Eredivisie,AZA,AZ Alkmaar
Dutch Eredivisie,EXC,Excelsior
Dutch Eredivisie,EMM,FC Emmen 
Dutch Eredivisie,GRO,FC Groningen
Dutch Eredivisie,TWE,FC Twente
Dutch Eredivisie,UTR,FC Utrecht
Dutch Eredivisie,VLN,FC Volendam 
Dutch Eredivisie,FEY,Feyenoord
Dutch Eredivisie,FST,Fortuna Sittard
Dutch Eredivisie,GAE,Go Ahead Eagles 
Dutch Eredivisie,NEC,NEC Nijmegen
Dutch Eredivisie,PSV,PSV Eindhoven
Dutch Eredivisie,WAA,RKC Waalwijk
Dutch Eredivisie,CAM,SC Cambuur 
Dutch Eredivisie,HEE,SC Heerenveen
Dutch Eredivisie,SPR,Sparta Rotterdam
Dutch Eredivisie,VIT,Vitesse Arnhem
English Championship,BRC,Birmingham City
English Championship,BBR,Blackburn Rovers
English Championship,BLK,Blackpool
English Championship,BSC,Bristol City
English Championship,BUR,Burnley
English Championship,CDF,Cardiff City
English Championship,CVC,Coventry City
English Championship,HDD,Huddersfield Town
English Championship,HUL,Hull City
English Championship,LUT,Luton Town
English Championship,MID,Middlesbrough
English Championship,MLW,Millwall
English Championship,NOR,Norwich City
English Championship,PNE,Preston North End
English Championship,QPR,Queens Park Rangers
English Championship,RDG,Reading
English Championship,RTU,Rotherham United
English Championship,SHU,Sheffield United
English Championship,STK,Stoke City
English Championship,SUN,Sunderland
English Championship,SWA,Swansea City
English Championship,WAT,Watford
English Championship,WBA,West Bromwich Albion
English Championship,WIG,Wigan Athletic
English League One,ACC,Accrington Stanley
English League One,BRS,Barnsley 
English League One,BOL,Bolton Wanderers
English League One,BRR,Bristol Rovers
English League One,BRA,Burton Albion
English League One,CMU,Cambridge United
English League One,CHA,Charlton Athletic
English League One,CTT,Cheltenham Town
English League One,DRB,Derby County
English League One,EXE,Exeter City
English League One,FLT,Fleetwood Town
English League One,FGR,Forest Green Rovers
English League One,IPS,Ipswich Town
English League One,LNC,Lincoln City
English League One,MKD,Milton Keynes Dons
English League One,MRC,Morecambe
English League One,OXF,Oxford United
English League One,PTU,Peterborough United
English League One,PLA,Plymouth Argyle
English League One,PTV,Port Vale
English League One,PTM,Portsmouth
English League One,SHF,Sheffield Wednesday
English League One,SHT,Shrewsbury Town
English League One,WYC,Wycombe Wanderers
English League Two,AWM,AFC Wimbledon
English League Two,BRW,Barrow
English League Two,BDC,Bradford City
English League Two,CRU,Carlise United
English League Two,CLU,Colchester United
English League Two,CRT,Crawley Town
English League Two,CAX,Crewe Alexandra
English League Two,DNR,Doncaster Rovers
English League Two,GLG,Gillingham 
English League Two,GBT,Grimsby Town
English League Two,HAT,Harrogate Town
English League Two,HAR,Hartlepool United
English League Two,LEY,Leyton Orient
English League Two,MSF,Mansfield Town
English League Two,NPT,Newport County
English League Two,NHT,Northampton Town
English League Two,RCH,Rochdale
English League Two,SAL,Salford City
English League Two,STV,Stevenage
English League Two,STO,Stockport County
English League Two,SUU,Sutton United
English League Two,SWI,Swindon Town
English League Two,TRR,Tranmere Rovers
English League Two,WSL,Walsall
English National League,ADT,Aldershot Town
English National League,AHM,Altrinham 
English National League,BNT,Barnet
English National League,BWD,Boreham Wood
English National League,BMY,Bromley
English National League,CFD,Chesterfield
English National League,DGR,Dagenham & Redbridge
English National League,DRK,Dorking Wanderers
English National League,EST,Eastleigh
English National League,FHT,FC Halifax Town
English National League,GTH,Gateshead 
English National League,MHU,Maidenhead United
English National League,MDU,Maidstone United
English National League,NOT,Notts County
English National League,OAT,Oldham Athletic
English National League,SCU,Scunthorpe United
English National League,SOL,Solihull Moors
English National League,SEU,Southend United
English National League,TRU,Torquay United 
English National League,WEA,Wealdstone 
English National League,WOK,Woking 
English National League,WXH,Wrexham
English National League,YEO,Yeovil Town
English National League,YOR,York City
English Premier League,BOU,AFC Bournemouth
English Premier League,ARS,Arsenal
English Premier League,AVA,Aston Villa
English Premier League,BRE,Brentford
English Premier League,BRH,Brighton & Hove Albion
English Premier League,CHE,Chelsea
English Premier League,CRY,Crystal Palace
English Premier League,EVE,Everton
English Premier League,FUL,Fulham
English Premier League,LEE,Leeds United
English Premier League,LEI,Leicester City
English Premier League,LIV,Liverpool
English Premier League,MCI,Manchester City
English Premier League,MUN,Manchester United
English Premier League,NEW,Newcastle United
English Premier League,NTG,Nottingham Forest
English Premier League,SOU,Southampton
English Premier League,TOT,Tottenham Hotspur
